"islands.combo","fst.dist","p.value","geo.dist","fv","neg.resid"
"Tahanea:Kayangel",0.80256,0,9256.9253030911,0.544376705590459,0.258183294409541
"Tahanea:Late_Island",0.4851,0,3144.49868178009,0.428939067140467,0.0561609328595326
"Tahanea:Mainland",0.67068,0,12502.2971814123,0.605667922440284,0.0650120775597164
"Tahanea:Malenge",0.6456,0,10327.0057456471,0.564585955842971,0.0810140441570291
"Tahanea:Mohotani",0.56453,0,1002.45252043845,0.388484961817709,0.176045038182291
"Tahanea:Motukawanui",0.6287,0,4537.35360121219,0.455244148994883,0.173455851005117
"Tahanea:New_Britain",0.62478,0,7167.67041775437,0.504919602049533,0.119860397950467
"Tahanea:New_Guinea",0.75804,0.00488,7442.28498932088,0.51010589868581,0.24793410131419
"Tahanea:Normanby_Island",0.6796,0.05273,6951.14698274755,0.500830398930248,0.178769601069752
"Tahanea:Rakiura",0.44924,0,5446.22230959651,0.47240879797262,-0.0231687979726204
"Tahanea:Reiono",0.54338,0,487.765349368105,0.378764718901136,0.164615281098864
"Tahanea:Rimatuu",0.49151,0,488.995747720673,0.378787955872142,0.112722044127858
"Tahanea:Slipper_Island",0.57286,0,4434.75365095442,0.453306474042426,0.119553525957574
"Tahanea:Sulawesi",0.57323,0,10499.5160313297,0.567843938510297,0.00538606148970333
"Wake_Island:Aotea",0.42307,0,6216.24257699488,0.486951192791265,-0.0638811927912651
"Wake_Island:Borneo",0.39036,0,5828.64683811126,0.479631164340697,-0.0892711643406971
"Wake_Island:Doubtful_Sound",0.53028,0.05176,7155.13020740811,0.504682771023539,0.0255972289764607
"Wake_Island:Great_Mercury_Island",0.48463,0.05273,6262.66958538945,0.487828000733741,-0.00319800073374094
"Wake_Island:Halmahera",0.42987,0,4667.57163936244,0.457703411696745,-0.0278334116967446
"Wake_Island:Hatutaa",0.47248,0,6529.91541513406,0.49287513330197,-0.0203951333019696
"Wake_Island:Honuea",0.63552,0,6255.0316129475,0.487683752048911,0.147836247951089
"Wake_Island:Kaikura_Island",0.4404,0,6209.05165525693,0.4868153869853,-0.0464153869853001
"Wake_Island:Kamaka",0.60783,0,7931.42782818805,0.519343718242888,0.088486281757112
"Wake_Island:Kayangel",0.66174,0,3657.19243571327,0.438621662919329,0.223118337080671
"Wake_Island:Late_Island",0.20963,0,4694.07488811648,0.458203944895254,-0.248573944895254
"Wake_Island:Mainland",0.5372,0,6448.78507741028,0.491342927653753,0.0458570723462473
"Wake_Island:Malenge",0.48425,0,5320.3872352435,0.470032310741372,0.0142176892586284
"Wake_Island:Mohotani",0.44504,0,6797.9370338333,0.497936917210886,-0.0528969172108861
"Wake_Island:Motukawanui",0.54867,0,6059.67566427837,0.483994312360114,0.0646756876398857
"Wake_Island:New_Britain",0.35418,0,3315.96511914203,0.432177335970311,-0.0779973359703108
"Wake_Island:New_Guinea",0.52257,0.00586,3521.98990699558,0.436068264474721,0.0865017355252792
"Wake_Island:Normanby_Island",0.44756,0.06152,3671.16042202386,0.438885458536601,0.0086745414633993
